BOTTOMLAYER
640,-0.5
(0.005,(-0.02 0.06 0),-1.85892e-09)
(0.005,(-0.02 0.065 0),-2.05444e-09)
(0.005,(-0.02 0.07 0),-2.09352e-09)
(0.005,(-0.02 0.075 0),-2.60281e-09)
(0.005,(-0.015 -0.08 0),-2.59959e-09)
(0.005,(-0.015 -0.075 0),-2.09135e-09)
(0.005,(-0.015 -0.07 0),-2.0528e-09)
(0.005,(-0.015 -0.065 0),-1.85338e-09)
(0.005,(-0.015 -0.06 0),-1.01611e-09)
(0.005,(-0.015 -0.055 0),-5.7396e-10)
(0.005,(-0.015 -0.05 0),-4.31753e-10)
(0.005,(-0.015 -0.045 0),-3.73959e-10)
(0.005,(-0.015 -0.04 0),-3.50443e-10)
(0.005,(-0.015 -0.035 0),-3.47105e-10)
(0.005,(-0.015 -0.03 0),-3.63685e-10)
(0.005,(-0.015 -0.025 0),-4.13818e-10)
(0.005,(-0.015 -0.02 0),-5.47459e-10)
(0.005,(-0.015 -0.015 0),-9.81462e-10)
(0.005,(-0.015 -0.01 0),-1.81041e-09)
(0.005,(-0.015 -0.005 0),-1.98558e-09)
(0.005,(-0.015 0 0),-1.98558e-09)
(0.005,(-0.015 0.005 0),-1.81041e-09)
(0.005,(-0.015 0.01 0),-9.81462e-10)
(0.005,(-0.015 0.015 0),-5.47459e-10)
(0.005,(-0.015 0.02 0),-4.13818e-10)
(0.005,(-0.015 0.025 0),-3.63685e-10)
(0.005,(-0.015 0.03 0),-3.47105e-10)
(0.005,(-0.015 0.035 0),-3.50443e-10)
(0.005,(-0.015 0.04 0),-3.73959e-10)
(0.005,(-0.015 0.045 0),-4.31753e-10)
(0.005,(-0.015 0.05 0),-5.7396e-10)
(0.005,(-0.015 0.055 0),-1.01611e-09)
(0.005,(-0.015 0.06 0),-1.85338e-09)
(0.005,(-0.015 0.065 0),-2.0528e-09)
(0.005,(-0.015 0.07 0),-2.09135e-09)
(0.005,(-0.015 0.075 0),-2.59959e-09)
(0.005,(-0.01 -0.08 0),-2.5976e-09)
(0.005,(-0.01 -0.075 0),-2.09007e-09)
(0.005,(-0.01 -0.07 0),-2.05175e-09)
(0.005,(-0.01 -0.065 0),-1.85067e-09)
(0.005,(-0.01 -0.06 0),-1.00419e-09)
(0.005,(-0.01 -0.055 0),-5.54554e-10)
(0.005,(-0.01 -0.05 0),-4.07894e-10)
(0.005,(-0.01 -0.045 0),-3.47558e-10)
(0.005,(-0.01 -0.04 0),-3.22962e-10)
(0.005,(-0.01 -0.035 0),-3.19797e-10)
(0.005,(-0.01 -0.03 0),-3.37847e-10)
(0.005,(-0.01 -0.025 0),-3.91e-10)
(0.005,(-0.01 -0.02 0),-5.2954e-10)
(0.005,(-0.01 -0.015 0),-9.7073e-10)
(0.005,(-0.01 -0.01 0),-1.80738e-09)
(0.005,(-0.01 -0.005 0),-1.98385e-09)
(0.005,(-0.01 0 0),-1.98385e-09)
(0.005,(-0.01 0.005 0),-1.80738e-09)
(0.005,(-0.01 0.01 0),-9.7073e-10)
(0.005,(-0.01 0.015 0),-5.2954e-10)
(0.005,(-0.01 0.02 0),-3.91e-10)
(0.005,(-0.01 0.025 0),-3.37847e-10)
(0.005,(-0.01 0.03 0),-3.19797e-10)
(0.005,(-0.01 0.035 0),-3.22962e-10)
(0.005,(-0.01 0.04 0),-3.47558e-10)
(0.005,(-0.01 0.045 0),-4.07894e-10)
(0.005,(-0.01 0.05 0),-5.54554e-10)
(0.005,(-0.01 0.055 0),-1.00419e-09)
(0.005,(-0.01 0.06 0),-1.85067e-09)
(0.005,(-0.01 0.065 0),-2.05175e-09)
(0.005,(-0.01 0.07 0),-2.09007e-09)
(0.005,(-0.01 0.075 0),-2.5976e-09)
(0.005,(-0.005 -0.08 0),-2.59665e-09)
(0.005,(-0.005 -0.075 0),-2.08947e-09)
(0.005,(-0.005 -0.07 0),-2.05125e-09)
(0.005,(-0.005 -0.065 0),-1.8495e-09)
(0.005,(-0.005 -0.06 0),-9.99389e-10)
(0.005,(-0.005 -0.055 0),-5.46817e-10)
(0.005,(-0.005 -0.05 0),-3.98367e-10)
(0.005,(-0.005 -0.045 0),-3.36966e-10)
(0.005,(-0.005 -0.04 0),-3.11906e-10)
(0.005,(-0.005 -0.035 0),-3.08826e-10)
(0.005,(-0.005 -0.03 0),-3.27521e-10)
(0.005,(-0.005 -0.025 0),-3.81937e-10)
(0.005,(-0.005 -0.02 0),-5.22414e-10)
(0.005,(-0.005 -0.015 0),-9.66378e-10)
(0.005,(-0.005 -0.01 0),-1.80608e-09)
(0.005,(-0.005 -0.005 0),-1.98308e-09)
(0.005,(-0.005 0 0),-1.98308e-09)
(0.005,(-0.005 0.005 0),-1.80608e-09)
(0.005,(-0.005 0.01 0),-9.66378e-10)
(0.005,(-0.005 0.015 0),-5.22414e-10)
(0.005,(-0.005 0.02 0),-3.81937e-10)
(0.005,(-0.005 0.025 0),-3.27521e-10)
(0.005,(-0.005 0.03 0),-3.08826e-10)
(0.005,(-0.005 0.035 0),-3.11906e-10)
(0.005,(-0.005 0.04 0),-3.36966e-10)
(0.005,(-0.005 0.045 0),-3.98367e-10)
(0.005,(-0.005 0.05 0),-5.46817e-10)
(0.005,(-0.005 0.055 0),-9.99389e-10)
(0.005,(-0.005 0.06 0),-1.8495e-09)
(0.005,(-0.005 0.065 0),-2.05125e-09)
(0.005,(-0.005 0.07 0),-2.08947e-09)
(0.005,(-0.005 0.075 0),-2.59665e-09)
(0.005,(0 -0.08 0),-2.59665e-09)
(0.005,(0 -0.075 0),-2.08947e-09)
(0.005,(0 -0.07 0),-2.05125e-09)
(0.005,(0 -0.065 0),-1.8495e-09)
(0.005,(0 -0.06 0),-9.99389e-10)
(0.005,(0 -0.055 0),-5.46817e-10)
(0.005,(0 -0.05 0),-3.98367e-10)
(0.005,(0 -0.045 0),-3.36966e-10)
(0.005,(0 -0.04 0),-3.11906e-10)
(0.005,(0 -0.035 0),-3.08826e-10)
(0.005,(0 -0.03 0),-3.27521e-10)
(0.005,(0 -0.025 0),-3.81937e-10)
(0.005,(0 -0.02 0),-5.22414e-10)
(0.005,(0 -0.015 0),-9.66378e-10)
(0.005,(0 -0.01 0),-1.80608e-09)
(0.005,(0 -0.005 0),-1.98308e-09)
(0.005,(0 0 0),-1.98308e-09)
(0.005,(0 0.005 0),-1.80608e-09)
(0.005,(0 0.01 0),-9.66378e-10)
(0.005,(0 0.015 0),-5.22414e-10)
(0.005,(0 0.02 0),-3.81937e-10)
