BOTTOMLAYER
640,-0.5
(0.005,(-0.025 -0.005 0),-7.05043e-10)
(0.005,(-0.025 0 0),-5.96807e-10)
(0.005,(-0.025 0.005 0),-5.54537e-10)
(0.005,(-0.025 0.01 0),-5.34848e-10)
(0.005,(-0.025 0.015 0),-5.25066e-10)
(0.005,(-0.025 0.02 0),-5.2092e-10)
(0.005,(-0.025 0.025 0),-5.21084e-10)
(0.005,(-0.025 0.03 0),-5.2575e-10)
(0.005,(-0.025 0.035 0),-5.36656e-10)
(0.005,(-0.025 0.04 0),-5.58552e-10)
(0.005,(-0.025 0.045 0),-6.04711e-10)
(0.005,(-0.025 0.05 0),-7.19365e-10)
(0.005,(-0.025 0.055 0),-1.10453e-09)
(0.005,(-0.025 0.06 0),-1.86894e-09)
(0.005,(-0.025 0.065 0),-2.05405e-09)
(0.005,(-0.025 0.07 0),-2.09375e-09)
(0.005,(-0.025 0.075 0),-2.59504e-09)
(0.005,(-0.02 -0.08 0),-2.5896e-09)
(0.005,(-0.02 -0.075 0),-2.08949e-09)
(0.005,(-0.02 -0.07 0),-2.05175e-09)
(0.005,(-0.02 -0.065 0),-1.8519e-09)
(0.005,(-0.02 -0.06 0),-1.01174e-09)
(0.005,(-0.02 -0.055 0),-5.75093e-10)
(0.005,(-0.02 -0.05 0),-4.54864e-10)
(0.005,(-0.02 -0.045 0),-4.51057e-10)
(0.005,(-0.02 -0.04 0),-5.62992e-10)
(0.005,(-0.02 -0.035 0),-9.88954e-10)
(0.005,(-0.02 -0.03 0),-1.81345e-09)
(0.005,(-0.02 -0.025 0),-1.98683e-09)
(0.005,(-0.02 -0.02 0),-1.98517e-09)
(0.005,(-0.02 -0.015 0),-1.81435e-09)
(0.005,(-0.02 -0.01 0),-1.01143e-09)
(0.005,(-0.02 -0.005 0),-5.94522e-10)
(0.005,(-0.02 0 0),-4.6581e-10)
(0.005,(-0.02 0.005 0),-4.131e-10)
(0.005,(-0.02 0.01 0),-3.87589e-10)
(0.005,(-0.02 0.015 0),-3.74336e-10)
(0.005,(-0.02 0.02 0),-3.68204e-10)
(0.005,(-0.02 0.025 0),-3.67597e-10)
(0.005,(-0.02 0.03 0),-3.72761e-10)
(0.005,(-0.02 0.035 0),-3.85838e-10)
(0.005,(-0.02 0.04 0),-4.12626e-10)
(0.005,(-0.02 0.045 0),-4.68875e-10)
(0.005,(-0.02 0.05 0),-6.0445e-10)
(0.005,(-0.02 0.055 0),-1.03357e-09)
(0.005,(-0.02 0.06 0),-1.85558e-09)
(0.005,(-0.02 0.065 0),-2.05185e-09)
(0.005,(-0.02 0.07 0),-2.09013e-09)
(0.005,(-0.02 0.075 0),-2.58944e-09)
(0.005,(-0.015 -0.08 0),-2.58741e-09)
(0.005,(-0.015 -0.075 0),-2.08697e-09)
(0.005,(-0.015 -0.07 0),-2.04886e-09)
(0.005,(-0.015 -0.065 0),-1.84984e-09)
(0.005,(-0.015 -0.06 0),-1.01497e-09)
(0.005,(-0.015 -0.055 0),-5.81903e-10)
(0.005,(-0.015 -0.05 0),-4.63012e-10)
(0.005,(-0.015 -0.045 0),-4.5901e-10)
(0.005,(-0.015 -0.04 0),-5.6923e-10)
(0.005,(-0.015 -0.035 0),-9.91417e-10)
(0.005,(-0.015 -0.03 0),-1.8108e-09)
(0.005,(-0.015 -0.025 0),-1.98335e-09)
(0.005,(-0.015 -0.02 0),-1.98239e-09)
(0.005,(-0.015 -0.015 0),-1.80849e-09)
(0.005,(-0.015 -0.01 0),-9.87912e-10)
(0.005,(-0.015 -0.005 0),-5.55878e-10)
(0.005,(-0.015 0 0),-4.17711e-10)
(0.005,(-0.015 0.005 0),-3.58557e-10)
(0.005,(-0.015 0.01 0),-3.28278e-10)
(0.005,(-0.015 0.015 0),-3.11453e-10)
(0.005,(-0.015 0.02 0),-3.02871e-10)
(0.005,(-0.015 0.025 0),-3.00938e-10)
(0.005,(-0.015 0.03 0),-3.05934e-10)
(0.005,(-0.015 0.035 0),-3.20167e-10)
(0.005,(-0.015 0.04 0),-3.49898e-10)
(0.005,(-0.015 0.045 0),-4.11855e-10)
(0.005,(-0.015 0.05 0),-5.57674e-10)
(0.005,(-0.015 0.055 0),-1.00504e-09)
(0.005,(-0.015 0.06 0),-1.84973e-09)
(0.005,(-0.015 0.065 0),-2.05015e-09)
(0.005,(-0.015 0.07 0),-2.08782e-09)
(0.005,(-0.015 0.075 0),-2.58535e-09)
(0.005,(-0.01 -0.08 0),-2.58618e-09)
(0.005,(-0.01 -0.075 0),-2.08527e-09)
(0.005,(-0.01 -0.07 0),-2.0467e-09)
(0.005,(-0.01 -0.065 0),-1.8493e-09)
(0.005,(-0.01 -0.06 0),-1.02405e-09)
(0.005,(-0.01 -0.055 0),-5.97996e-10)
(0.005,(-0.01 -0.05 0),-4.82049e-10)
(0.005,(-0.01 -0.045 0),-4.77922e-10)
(0.005,(-0.01 -0.04 0),-5.84965e-10)
(0.005,(-0.01 -0.035 0),-1.00001e-09)
(0.005,(-0.01 -0.03 0),-1.80982e-09)
(0.005,(-0.01 -0.025 0),-1.98065e-09)
(0.005,(-0.01 -0.02 0),-1.98005e-09)
(0.005,(-0.01 -0.015 0),-1.80603e-09)
(0.005,(-0.01 -0.01 0),-9.83935e-10)
(0.005,(-0.01 -0.005 0),-5.49446e-10)
(0.005,(-0.01 0 0),-4.07727e-10)
(0.005,(-0.01 0.005 0),-3.43689e-10)
(0.005,(-0.01 0.01 0),-3.07725e-10)
(0.005,(-0.01 0.015 0),-2.85618e-10)
(0.005,(-0.01 0.02 0),-2.73092e-10)
(0.005,(-0.01 0.025 0),-2.68772e-10)
(0.005,(-0.01 0.03 0),-2.72779e-10)
(0.005,(-0.01 0.035 0),-2.87279e-10)
(0.005,(-0.01 0.04 0),-3.18573e-10)
(0.005,(-0.01 0.045 0),-3.83657e-10)
(0.005,(-0.01 0.05 0),-5.34709e-10)
(0.005,(-0.01 0.055 0),-9.90873e-10)
(0.005,(-0.01 0.06 0),-1.84662e-09)
(0.005,(-0.01 0.065 0),-2.04903e-09)
(0.005,(-0.01 0.07 0),-2.08637e-09)
(0.005,(-0.01 0.075 0),-2.58235e-09)
(0.005,(-0.005 -0.08 0),-2.58569e-09)
(0.005,(-0.005 -0.075 0),-2.08416e-09)
(0.005,(-0.005 -0.07 0),-2.04483e-09)
(0.005,(-0.005 -0.065 0),-1.85109e-09)
(0.005,(-0.005 -0.06 0),-1.04644e-09)
(0.005,(-0.005 -0.055 0),-6.35988e-10)
(0.005,(-0.005 -0.05 0),-5.26672e-10)
(0.005,(-0.005 -0.045 0),-5.22489e-10)
(0.005,(-0.005 -0.04 0),-6.22803e-10)
(0.005,(-0.005 -0.035 0),-1.02216e-09)
(0.005,(-0.005 -0.03 0),-1.81126e-09)
(0.005,(-0.005 -0.025 0),-1.97824e-09)
(0.005,(-0.005 -0.02 0),-1.97783e-09)
(0.005,(-0.005 -0.015 0),-1.8067e-09)
(0.005,(-0.005 -0.01 0),-9.99401e-10)
(0.005,(-0.005 -0.005 0),-5.75038e-10)
(0.005,(-0.005 0 0),-4.34592e-10)
(0.005,(-0.005 0.005 0),-3.63936e-10)
(0.005,(-0.005 0.01 0),-3.16182e-10)
(0.005,(-0.005 0.015 0),-2.82686e-10)
(0.005,(-0.005 0.02 0),-2.62429e-10)
(0.005,(-0.005 0.025 0),-2.53774e-10)
(0.005,(-0.005 0.03 0),-2.55735e-10)
(0.005,(-0.005 0.035 0),-2.69694e-10)
(0.005,(-0.005 0.04 0),-3.01577e-10)
(0.005,(-0.005 0.045 0),-3.68281e-10)
(0.005,(-0.005 0.05 0),-5.22111e-10)
(0.005,(-0.005 0.055 0),-9.83009e-10)
(0.005,(-0.005 0.06 0),-1.84493e-09)
(0.005,(-0.005 0.065 0),-2.04845e-09)
(0.005,(-0.005 0.07 0),-2.08559e-09)
(0.005,(-0.005 0.075 0),-2.58023e-09)
(0.005,(0 -0.08 0),-2.58582e-09)
(0.005,(0 -0.075 0),-2.08352e-09)
(0.005,(0 -0.07 0),-2.04254e-09)
(0.005,(0 -0.065 0),-1.85927e-09)
(0.005,(0 -0.06 0),-1.1092e-09)
(0.005,(0 -0.055 0),-7.38818e-10)
(0.005,(0 -0.05 0),-6.44802e-10)
(0.005,(0 -0.045 0),-6.40615e-10)
(0.005,(0 -0.04 0),-7.25636e-10)
(0.005,(0 -0.035 0),-1.0849e-09)
(0.005,(0 -0.03 0),-1.81918e-09)
(0.005,(0 -0.025 0),-1.97539e-09)
(0.005,(0 -0.02 0),-1.97505e-09)
(0.005,(0 -0.015 0),-1.81437e-09)
(0.005,(0 -0.01 0),-1.05971e-09)
(0.005,(0 -0.005 0),-6.73128e-10)
(0.005,(0 0 0),-5.42784e-10)
(0.005,(0 0.005 0),-4.54865e-10)
(0.005,(0 0.01 0),-3.6828e-10)
(0.005,(0 0.015 0),-3.019e-10)
(0.005,(0 0.02 0),-2.65027e-10)
(0.005,(0 0.025 0),-2.48864e-10)
(0.005,(0 0.03 0),-2.47545e-10)
(0.005,(0 0.035 0),-2.60276e-10)
(0.005,(0 0.04 0),-2.92088e-10)
(0.005,(0 0.045 0),-3.59529e-10)
(0.005,(0 0.05 0),-5.14851e-10)
(0.005,(0 0.055 0),-9.78499e-10)
(0.005,(0 0.06 0),-1.84421e-09)
(0.005,(0 0.065 0),-2.0484e-09)
(0.005,(0 0.07 0),-2.08538e-09)
(0.005,(0 0.075 0),-2.5789e-09)
(0.005,(0.005 -0.08 0),-2.58654e-09)
(0.005,(0.005 -0.075 0),-2.08344e-09)
(0.005,(0.005 -0.07 0),-2.03968e-09)
(0.005,(0.005 -0.065 0),-1.90241e-09)
(0.005,(0.005 -0.06 0),-1.35491e-09)
(0.005,(0.005 -0.055 0),-1.10413e-09)
(0.005,(0.005 -0.05 0),-1.04475e-09)
(0.005,(0.005 -0.045 0),-1.04057e-09)
(0.005,(0.005 -0.04 0),-1.09099e-09)
(0.005,(0.005 -0.035 0),-1.33065e-09)
(0.005,(0.005 -0.03 0),-1.86214e-09)
(0.005,(0.005 -0.025 0),-1.97202e-09)
(0.005,(0.005 -0.02 0),-1.97167e-09)
(0.005,(0.005 -0.015 0),-1.85822e-09)
(0.005,(0.005 -0.01 0),-1.31083e-09)
(0.005,(0.005 -0.005 0),-1.05021e-09)
(0.005,(0.005 0 0),-9.6254e-10)
(0.005,(0.005 0.005 0),-8.24062e-10)
(0.005,(0.005 0.01 0),-5.31405e-10)
(0.005,(0.005 0.015 0),-3.47468e-10)
(0.005,(0.005 0.02 0),-2.77382e-10)
(0.005,(0.005 0.025 0),-2.50083e-10)
(0.005,(0.005 0.03 0),-2.44511e-10)
(0.005,(0.005 0.035 0),-2.55595e-10)
(0.005,(0.005 0.04 0),-2.86954e-10)
(0.005,(0.005 0.045 0),-3.54629e-10)
(0.005,(0.005 0.05 0),-5.10739e-10)
(0.005,(0.005 0.055 0),-9.76078e-10)
(0.005,(0.005 0.06 0),-1.8443e-09)
(0.005,(0.005 0.065 0),-2.04892e-09)
(0.005,(0.005 0.07 0),-2.08575e-09)
(0.005,(0.005 0.075 0),-2.57833e-09)
(0.005,(0.01 -0.08 0),-2.58793e-09)
(0.005,(0.01 -0.075 0),-2.08418e-09)
(0.005,(0.01 -0.07 0),-2.03651e-09)
(0.005,(0.01 -0.065 0),-1.98768e-09)
(0.005,(0.01 -0.06 0),-1.88946e-09)
(0.005,(0.01 -0.055 0),-1.83836e-09)
(0.005,(0.01 -0.05 0),-1.82512e-09)
(0.005,(0.01 -0.045 0),-1.82093e-09)
(0.005,(0.01 -0.04 0),-1.82519e-09)
(0.005,(0.01 -0.035 0),-1.86513e-09)
(0.005,(0.01 -0.03 0),-1.94734e-09)
(0.005,(0.01 -0.025 0),-1.96861e-09)
(0.005,(0.01 -0.02 0),-1.96818e-09)
(0.005,(0.01 -0.015 0),-1.94547e-09)
(0.005,(0.01 -0.01 0),-1.86014e-09)
(0.005,(0.01 -0.005 0),-1.81656e-09)
(0.005,(0.01 0 0),-1.81331e-09)
(0.005,(0.01 0.005 0),-1.63144e-09)
(0.005,(0.01 0.01 0),-7.98718e-10)
(0.005,(0.01 0.015 0),-4.03998e-10)
(0.005,(0.01 0.02 0),-2.93152e-10)
(0.005,(0.01 0.025 0),-2.5404e-10)
(0.005,(0.01 0.03 0),-2.44308e-10)
(0.005,(0.01 0.035 0),-2.53791e-10)
(0.005,(0.01 0.04 0),-2.84593e-10)
(0.005,(0.01 0.045 0),-3.52245e-10)
(0.005,(0.01 0.05 0),-5.08745e-10)
(0.005,(0.01 0.055 0),-9.75184e-10)
(0.005,(0.01 0.06 0),-1.84522e-09)
(0.005,(0.01 0.065 0),-2.05011e-09)
(0.005,(0.01 0.07 0),-2.08678e-09)
(0.005,(0.01 0.075 0),-2.57858e-09)
(0.005,(0.015 -0.08 0),-2.5902e-09)
(0.005,(0.015 -0.075 0),-2.08599e-09)
(0.005,(0.015 -0.07 0),-2.03665e-09)
(0.005,(0.015 -0.065 0),-2.01244e-09)
(0.005,(0.015 -0.06 0),-2.00275e-09)
(0.005,(0.015 -0.055 0),-1.99737e-09)
(0.005,(0.015 -0.05 0),-1.99327e-09)
(0.005,(0.015 -0.045 0),-1.98912e-09)
(0.005,(0.015 -0.04 0),-1.98427e-09)
(0.005,(0.015 -0.035 0),-1.97855e-09)
(0.005,(0.015 -0.03 0),-1.97227e-09)
(0.005,(0.015 -0.025 0),-1.96883e-09)
(0.005,(0.015 -0.02 0),-1.96834e-09)
(0.005,(0.015 -0.015 0),-1.9709e-09)
(0.005,(0.015 -0.01 0),-1.97675e-09)
(0.005,(0.015 -0.005 0),-1.98284e-09)
(0.005,(0.015 0 0),-1.99897e-09)
(0.005,(0.015 0.005 0),-1.8079e-09)
(0.005,(0.015 0.01 0),-9.00917e-10)
(0.005,(0.015 0.015 0),-4.37519e-10)
(0.005,(0.015 0.02 0),-3.04085e-10)
(0.005,(0.015 0.025 0),-2.57754e-10)
(0.005,(0.015 0.03 0),-2.45435e-10)
(0.005,(0.015 0.035 0),-2.53886e-10)
(0.005,(0.015 0.04 0),-2.84262e-10)
(0.005,(0.015 0.045 0),-3.51793e-10)
(0.005,(0.015 0.05 0),-5.08443e-10)
(0.005,(0.015 0.055 0),-9.75637e-10)
(0.005,(0.015 0.06 0),-1.84712e-09)
(0.005,(0.015 0.065 0),-2.0522e-09)
(0.005,(0.015 0.07 0),-2.08867e-09)
(0.005,(0.015 0.075 0),-2.57981e-09)
(0.005,(0.02 -0.08 0),-2.59374e-09)
(0.005,(0.02 -0.075 0),-2.08949e-09)
(0.005,(0.02 -0.07 0),-2.04041e-09)
(0.005,(0.02 -0.065 0),-2.01641e-09)
(0.005,(0.02 -0.06 0),-2.00688e-09)
(0.005,(0.02 -0.055 0),-2.00159e-09)
(0.005,(0.02 -0.05 0),-1.99756e-09)
(0.005,(0.02 -0.045 0),-1.99346e-09)
(0.005,(0.02 -0.04 0),-1.98866e-09)
(0.005,(0.02 -0.035 0),-1.98298e-09)
(0.005,(0.02 -0.03 0),-1.9767e-09)
(0.005,(0.02 -0.025 0),-1.97324e-09)
(0.005,(0.02 -0.02 0),-1.97272e-09)
(0.005,(0.02 -0.015 0),-1.97523e-09)
(0.005,(0.02 -0.01 0),-1.981e-09)
(0.005,(0.02 -0.005 0),-1.98699e-09)
(0.005,(0.02 0 0),-2.003e-09)
(0.005,(0.02 0.005 0),-1.81157e-09)
(0.005,(0.02 0.01 0),-9.03486e-10)
(0.005,(0.02 0.015 0),-4.39641e-10)
(0.005,(0.02 0.02 0),-3.06127e-10)
(0.005,(0.02 0.025 0),-2.59746e-10)
(0.005,(0.02 0.03 0),-2.47345e-10)
(0.005,(0.02 0.035 0),-2.55671e-10)
(0.005,(0.02 0.04 0),-2.8588e-10)
(0.005,(0.02 0.045 0),-3.5324e-10)
(0.005,(0.02 0.05 0),-5.09845e-10)
(0.005,(0.02 0.055 0),-9.77579e-10)
(0.005,(0.02 0.06 0),-1.85039e-09)
(0.005,(0.02 0.065 0),-2.05561e-09)
(0.005,(0.02 0.07 0),-2.0918e-09)
(0.005,(0.02 0.075 0),-2.58234e-09)
(0.005,(0.025 -0.08 0),-2.59932e-09)
(0.005,(0.025 -0.075 0),-2.09554e-09)
(0.005,(0.025 -0.07 0),-2.04873e-09)
(0.005,(0.025 -0.065 0),-2.00028e-09)
(0.005,(0.025 -0.06 0),-1.9017e-09)
(0.005,(0.025 -0.055 0),-1.85054e-09)
(0.005,(0.025 -0.05 0),-1.83747e-09)
